Date,Long,Short,Change long,Change short,Net position,url_report,type
01/11/22,50738,58222,738,-8697,-7484,deacmxsf,metals
25/10/22,50000,66919,665,-2718,-16919,deacmxsf,metals
18/10/22,49335,69637,-1686,2717,-20302,deacmxsf,metals
11/10/22,51021,66920,551,-1801,-15899,deacmxsf,metals
04/10/22,50470,68721,-256,-9761,-18251,deacmxsf,metals
27/09/22,50726,78482,3953,11423,-27756,deacmxsf,metals
20/09/22,46773,67059,2199,3499,-20286,deacmxsf,metals
13/09/22,44574,63560,-2007,-7011,-18986,deacmxsf,metals
06/09/22,46581,70571,476,1211,-23990,deacmxsf,metals
30/08/22,46105,69360,-4105,160,-23255,deacmxsf,metals
23/08/22,50210,69200,3413,-5817,-18990,deacmxsf,metals
16/08/22,46797,75017,-2680,-2937,-28220,deacmxsf,metals
09/08/22,49477,77954,-840,231,-28477,deacmxsf,metals
02/08/22,50317,77723,-2060,-1216,-27406,deacmxsf,metals
26/07/22,52377,78939,377,3103,-26562,deacmxsf,metals
19/07/22,52000,75836,-623,-3082,-23836,deacmxsf,metals
12/07/22,52623,78918,-1450,-6951,-26295,deacmxsf,metals
05/07/22,54073,85869,6291,7391,-31796,deacmxsf,metals
28/06/22,47782,78478,-2448,7310,-30696,deacmxsf,metals
21/06/22,50230,71168,-847,6294,-20938,deacmxsf,metals
14/06/22,51077,64874,-7155,2928,-13797,deacmxsf,metals
07/06/22,58232,61946,4828,-9483,-3714,deacmxsf,metals
31/05/22,53404,71429,-726,-2334,-18025,deacmxsf,metals
24/05/22,54130,73763,971,-3804,-19633,deacmxsf,metals
17/05/22,53159,77567,-4351,-2569,-24408,deacmxsf,metals
10/05/22,57510,80136,-8080,-1077,-22626,deacmxsf,metals
03/05/22,65590,81213,-5069,6769,-15623,deacmxsf,metals
26/04/22,70659,74444,-12602,10023,-3785,deacmxsf,metals
19/04/22,83261,64421,1321,5831,18840,deacmxsf,metals
12/04/22,81940,58590,-8839,3953,23350,deacmxsf,metals
05/04/22,90779,54637,4226,-1335,36142,deacmxsf,metals
29/03/22,86553,55972,5030,1261,30581,deacmxsf,metals
22/03/22,81523,54711,8185,403,26812,deacmxsf,metals
15/03/22,73338,54308,-14406,-1617,19030,deacmxsf,metals
08/03/22,87744,55925,12218,2492,31819,deacmxsf,metals
01/03/22,75526,53433,-5414,-1932,22093,deacmxsf,metals
22/02/22,80940,55365,-3475,1642,25575,deacmxsf,metals
15/02/22,84415,53723,10113,-1724,30692,deacmxsf,metals
08/02/22,74302,55447,5318,2618,18855,deacmxsf,metals
01/02/22,68984,52829,-9632,694,16155,deacmxsf,metals
25/01/22,78616,52135,943,-3228,26481,deacmxsf,metals
18/01/22,77673,55363,3865,-1739,22310,deacmxsf,metals
11/01/22,73808,57102,-1399,1654,16706,deacmxsf,metals
04/01/22,75207,55448,4227,-1149,19759,deacmxsf,metals
