Date,Long,Short,Change long,Change short,Net position,url_report,type
01/11/22,216341,151718,3488,6897,64623,deacmxsf,metals
25/10/22,212853,144821,1963,10887,68032,deacmxsf,metals
18/10/22,210890,133934,-1671,15793,76956,deacmxsf,metals
11/10/22,212561,118141,-3403,-9438,94420,deacmxsf,metals
04/10/22,215964,127579,8810,-27494,88385,deacmxsf,metals
27/09/22,207154,155073,-7403,6238,52081,deacmxsf,metals
20/09/22,214557,148835,-11375,20247,65722,deacmxsf,metals
13/09/22,225932,128588,-5595,918,97344,deacmxsf,metals
06/09/22,231527,127670,-3787,10090,103857,deacmxsf,metals
30/08/22,235314,117580,-2113,6000,117734,deacmxsf,metals
23/08/22,237427,111580,-769,14548,125847,deacmxsf,metals
16/08/22,238196,97032,-4710,-3023,141164,deacmxsf,metals
09/08/22,242906,100055,778,-17747,142851,deacmxsf,metals
02/08/22,242128,117802,467,-31169,124326,deacmxsf,metals
26/07/22,241661,148971,657,2922,92690,deacmxsf,metals
19/07/22,241004,146049,-10122,13044,94955,deacmxsf,metals
12/07/22,251126,133005,-16680,10859,118121,deacmxsf,metals
05/07/22,267806,122146,-906,11127,145660,deacmxsf,metals
28/06/22,268712,111019,593,6187,157693,deacmxsf,metals
21/06/22,268119,104832,1523,-7166,163287,deacmxsf,metals
14/06/22,266596,111998,-3760,16910,154598,deacmxsf,metals
07/06/22,270356,95088,897,-1782,175268,deacmxsf,metals
31/05/22,269459,96870,-12743,-1519,172589,deacmxsf,metals
24/05/22,282202,98389,-809,-9262,183813,deacmxsf,metals
17/05/22,283011,107651,-5936,12019,175360,deacmxsf,metals
10/05/22,288947,95632,-4492,1361,193315,deacmxsf,metals
03/05/22,293439,94271,-17072,1784,199168,deacmxsf,metals
26/04/22,310511,92487,-20234,1499,218024,deacmxsf,metals
19/04/22,330745,90988,-7419,7111,239757,deacmxsf,metals
12/04/22,338164,83877,13594,4848,254287,deacmxsf,metals
05/04/22,324570,79029,-3062,8993,245541,deacmxsf,metals
29/03/22,327632,70036,-1028,-10592,257596,deacmxsf,metals
22/03/22,328660,80628,-18071,-4315,248032,deacmxsf,metals
15/03/22,346731,84943,-17887,-5287,261788,deacmxsf,metals
08/03/22,364618,90230,10441,-6325,274388,deacmxsf,metals
01/03/22,354177,96555,4081,-10393,257622,deacmxsf,metals
22/02/22,350096,106948,36827,7292,243148,deacmxsf,metals
15/02/22,313269,99656,33710,6803,213613,deacmxsf,metals
08/02/22,279559,92853,3565,-10999,186706,deacmxsf,metals
01/02/22,275994,103852,-37421,10588,172142,deacmxsf,metals
25/01/22,313415,93264,22887,-3057,220151,deacmxsf,metals
18/01/22,290528,96321,426,5956,194207,deacmxsf,metals
11/01/22,290102,90365,-6481,5137,199737,deacmxsf,metals
04/01/22,296583,85228,-7296,-5495,211355,deacmxsf,metals
